chrom	start	stop	gene_id	gene_name
1	11869	14409	ENSG00000223972.5	DDX11L1
1	14404	29570	ENSG00000227232.5	WASH7P
1	17369	17436	ENSG00000278267.1	MIR6859-1
1	29554	31109	ENSG00000243485.5	MIR1302-2HG
1	30366	30503	ENSG00000284332.1	MIR1302-2
1	34554	36081	ENSG00000237613.2	FAM138A
1	52473	53312	ENSG00000268020.3	OR4G4P
1	57598	64116	ENSG00000240361.2	OR4G11P
1	65419	71585	ENSG00000186092.6	OR4F5
1	89295	133723	ENSG00000238009.6	AL627309.1
1	89551	91105	ENSG00000239945.1	AL627309.3
1	131025	134836	ENSG00000233750.3	CICP27
1	135141	135895	ENSG00000268903.1	AL627309.6
1	137682	137965	ENSG00000269981.1	AL627309.7
1	139790	140339	ENSG00000239906.1	AL627309.2
1	141474	173862	ENSG00000241860.7	AL627309.5
1	157784	157887	ENSG00000222623.1	RNU6-1100P
1	160446	161525	ENSG00000241599.1	AL627309.4
1	182696	184174	ENSG00000279928.2	DDX11L17
1	185217	195411	ENSG00000279457.4	WASH9P
1	187891	187958	ENSG00000273874.1	MIR6859-2
1	257864	359681	ENSG00000228463.10	AP006222.1
1	266855	268655	ENSG00000286448.1	AP006222.2
1	347982	348366	ENSG00000236679.2	RPL23AP24
1	358857	366052	ENSG00000236601.2	AL732372.1
1	365389	522928	ENSG00000237094.12	AL732372.2
1	439870	440232	ENSG00000269732.1	WBP1LP7
1	450740	451678	ENSG00000284733.2	OR4F29
1	487101	489906	ENSG00000233653.3	CICP7
1	491225	493241	ENSG00000250575.1	AL732372.3
1	516376	516479	ENSG00000278757.1	U6
1	586071	827796	ENSG00000230021.10	AL669831.3
1	587629	594768	ENSG00000235146.2	AC114498.1
1	629062	629433	ENSG00000225972.1	MTND1P23
1	629640	630683	ENSG00000225630.1	MTND2P28
1	631074	632616	ENSG00000237973.1	MTCO1P12
1	632325	632413	ENSG00000278791.1	AC114498.2
1	632757	633438	ENSG00000229344.1	MTCO2P12
1	633535	633741	ENSG00000240409.1	MTATP8P1
1	633696	634376	ENSG00000248527.1	MTATP6P1
1	634376	634922	ENSG00000198744.5	MTCO3P12
1	674842	675265	ENSG00000268663.1	WBP1LP6
1	685679	686673	ENSG00000284662.1	OR4F16
1	722092	724903	ENSG00000229376.3	CICP3
1	725885	778626	ENSG00000228327.3	AL669831.1
1	758233	758336	ENSG00000223181.1	RNU6-1199P
1	760911	761989	ENSG00000229905.1	AL669831.2
1	778747	810065	ENSG00000237491.10	LINC01409
1	781937	782050	ENSG00000285268.1	AL669831.6
1	800879	817712	ENSG00000230092.7	AL669831.4
1	817371	819837	ENSG00000177757.2	FAM87B
1	825138	859446	ENSG00000228794.10	LINC01128
1	826206	827522	ENSG00000225880.5	LINC00115
1	860226	868202	ENSG00000288531.1	AL669831.7
1	868071	876903	ENSG00000230368.2	FAM41C
1	873292	874349	ENSG00000234711.1	TUBB8P11
1	874529	877234	ENSG00000283040.1	AL669831.5
1	904834	915976	ENSG00000272438.1	AL645608.6
1	911435	914948	ENSG00000230699.2	AL645608.2
1	914171	914971	ENSG00000241180.1	AL645608.4
1	916865	921016	ENSG00000223764.2	LINC02593
1	923923	944575	ENSG00000187634.13	SAMD11
1	944203	959309	ENSG00000188976.11	NOC2L
1	960584	965719	ENSG00000187961.14	KLHL17
1	966482	975865	ENSG00000187583.11	PLEKHN1
1	975204	982093	ENSG00000187642.9	PERM1
1	995966	998051	ENSG00000272512.1	AL645608.7
1	998962	1000172	ENSG00000188290.11	HES4
1	1001138	1014540	ENSG00000187608.10	ISG15
1	1008076	1008229	ENSG00000231702.2	AL645608.3
1	1011997	1013193	ENSG00000224969.1	AL645608.1
1	1020120	1056118	ENSG00000188157.15	AGRN
1	1055033	1056116	ENSG00000242590.1	AL645608.5
1	1059708	1069355	ENSG00000217801.10	AL390719.1
1	1062208	1063288	ENSG00000273443.1	AL645608.8
1	1070967	1074306	ENSG00000237330.3	RNF223
1	1081818	1116361	ENSG00000131591.18	C1orf159
1	1097585	1104598	ENSG00000285812.1	AL390719.3
1	1137017	1144056	ENSG00000223823.1	LINC01342
1	1167104	1167198	ENSG00000207730.3	MIR200B
1	1167863	1167952	ENSG00000207607.3	MIR200A
1	1169005	1169087	ENSG00000198976.1	MIR429
1	1169357	1170343	ENSG00000272141.1	AL390719.2
1	1173056	1179555	ENSG00000205231.1	TTLL10-AS1
1	1173880	1197936	ENSG00000162571.14	TTLL10
1	1203508	1206592	ENSG00000186891.14	TNFRSF18
1	1211340	1214153	ENSG00000186827.11	TNFRSF4
1	1216909	1232067	ENSG00000078808.19	SDF4
1	1232237	1235041	ENSG00000176022.7	B3GALT6
1	1242446	1246722	ENSG00000184163.3	C1QTNF12
1	1249777	1251334	ENSG00000260179.1	AL162741.1
1	1253909	1273864	ENSG00000160087.21	UBE2J2
1	1275223	1280420	ENSG00000230415.1	LINC01786
1	1280436	1292029	ENSG00000162572.21	SCNN1D
1	1292390	1309609	ENSG00000131584.19	ACAP3
1	1296110	1296170	ENSG00000278073.1	MIR6726
1	1308597	1311677	ENSG00000169972.12	PUSL1
1	1311585	1324687	ENSG00000127054.21	INTS11
1	1312502	1312566	ENSG00000283712.1	MIR6727
1	1317581	1318689	ENSG00000240731.1	AL139287.1
1	1324756	1328896	ENSG00000224051.7	CPTP
1	1331280	1335314	ENSG00000169962.5	TAS1R3
1	1335276	1349418	ENSG00000107404.20	DVL1
1	1339650	1339708	ENSG00000284372.1	MIR6808
1	1352689	1361777	ENSG00000162576.17	MXRA8
1	1373730	1375495	ENSG00000175756.13	AURKAIP1
1	1378666	1379032	ENSG00000223663.2	NDUFB4P8
1	1385711	1399335	ENSG00000221978.12	CCNL2
1	1399520	1402046	ENSG00000224870.7	MRPL20-AS1
1	1401909	1407293	ENSG00000242485.6	MRPL20
1	1405460	1405752	ENSG00000264293.2	RN7SL657P
1	1409096	1410618	ENSG00000272455.1	MRPL20-DT
1	1418420	1421769	ENSG00000235098.9	ANKRD65
1	1420245	1422691	ENSG00000225905.1	AL391244.1
1	1426128	1427787	ENSG00000205116.3	TMEM88B
1	1430539	1434573	ENSG00000225285.1	LINC01770
1	1434861	1442882	ENSG00000179403.12	VWA1
1	1449689	1470163	ENSG00000215915.10	ATAD3C
1	1471765	1497848	ENSG00000160072.20	ATAD3B
1	1503250	1509452	ENSG00000284740.1	AL645728.2
1	1512162	1534685	ENSG00000197785.14	ATAD3A
1	1534778	1540624	ENSG00000205090.9	TMEM240
1	1541673	1574863	ENSG00000160075.12	SSU72
1	1574102	1577075	ENSG00000215014.5	AL645728.1
1	1583510	1583909	ENSG00000274481.1	AL691432.3
1	1598012	1600135	ENSG00000228594.4	FNDC10
1	1600314	1602703	ENSG00000286989.1	AL691432.4
1	1613758	1615795	ENSG00000272106.1	AL691432.2
1	1615415	1630610	ENSG00000197530.12	MIB2
1	1632163	1635263	ENSG00000189409.14	MMP23B
1	1635225	1659012	ENSG00000248333.9	CDK11B
1	1659325	1662602	ENSG00000272004.1	FO704657.1
1	1659529	1692795	ENSG00000189339.12	SLC35E2B
1	1671990	1674397	ENSG00000269737.2	AL691432.1
1	1699942	1701782	ENSG00000215914.4	MMP23A
1	1702379	1724357	ENSG00000008128.23	CDK11A
1	1702736	1737688	ENSG00000268575.1	AL031282.2
1	1724512	1737251	ENSG00000227775.3	AL031282.1
1	1724838	1745992	ENSG00000215790.8	SLC35E2A
1	1751232	1780457	ENSG00000008130.15	NADK
1	1785285	1891117	ENSG00000078369.18	GNB1
1	1891471	1892658	ENSG00000231050.1	AL109917.1
1	1915108	1917296	ENSG00000169885.10	CALML6
1	1917590	1919279	ENSG00000178821.13	TMEM52
1	1921951	2003837	ENSG00000142609.18	CFAP74
1	2013213	2015639	ENSG00000233542.2	AL391845.2
1	2019329	2030758	ENSG00000187730.9	GABRD
1	2049203	2050070	ENSG00000226969.1	AL391845.1
1	2050411	2185395	ENSG00000067606.17	PRKCZ
1	2141084	2145279	ENSG00000271806.1	AL590822.2
1	2181794	2184389	ENSG00000182873.5	PRKCZ-AS1
1	2184461	2212720	ENSG00000162585.17	FAAP20
1	2212523	2220738	ENSG00000234396.3	AL590822.1
1	2228319	2310213	ENSG00000157933.10	SKI
1	2315040	2323085	ENSG00000287356.1	AL590822.3
1	2321253	2391707	ENSG00000116151.14	MORN1
1	2326201	2326693	ENSG00000272161.1	AL589739.1
1	2350414	2352820	ENSG00000269896.2	AL513477.1
1	2363061	2363628	ENSG00000272420.1	AL513477.2
1	2391775	2405442	ENSG00000157916.20	RER1
1	2403964	2413797	ENSG00000157911.11	PEX10
1	2425980	2505532	ENSG00000149527.18	PLCH2
1	2492300	2493258	ENSG00000224387.1	AL139246.1
1	2493437	2494479	ENSG00000229393.1	AL139246.4
1	2508537	2526597	ENSG00000157881.16	PANK4
1	2528745	2530263	ENSG00000197921.6	HES5
1	2530064	2547460	ENSG00000272449.2	AL139246.5
1	2549920	2557031	ENSG00000238164.6	TNFRSF14-AS1
1	2555639	2565382	ENSG00000157873.18	TNFRSF14
1	2566410	2569888	ENSG00000225931.3	AL139246.2
1	2581560	2584533	ENSG00000228037.1	AL139246.3
1	2586491	2591469	ENSG00000157870.17	PRXL2B
1	2590639	2633016	ENSG00000142606.16	MMEL1
1	2632568	2636620	ENSG00000237058.1	MMEL1-AS1
1	2635976	2801717	ENSG00000215912.12	TTC34
1	2768091	2784733	ENSG00000285945.1	AC242022.2
1	2773603	2776473	ENSG00000283259.1	AC242022.1
1	2811850	2812692	ENSG00000233234.1	AL592464.2
1	2814056	2817767	ENSG00000287396.1	AL592464.3
1	2814432	2814998	ENSG00000231630.1	AL592464.1
1	2960658	2968707	ENSG00000284745.1	AL589702.1
1	3021467	3022903	ENSG00000169717.7	ACTRT2
1	3059615	3068437	ENSG00000177133.11	PRDM16-DT
1	3069168	3438621	ENSG00000142611.17	PRDM16
1	3127975	3128035	ENSG00000283572.1	MIR4251
1	3132927	3133709	ENSG00000226286.1	AL008733.1
1	3205988	3208664	ENSG00000279839.1	AL512383.1
1	3306636	3310096	ENSG00000272235.1	AL590438.1
1	3313052	3323149	ENSG00000287828.1	AL354743.2
1	3367815	3373928	ENSG00000286518.1	AL354743.1
1	3454665	3481113	ENSG00000130762.15	ARHGEF16
1	3487246	3487627	ENSG00000272088.1	AL512413.1
1	3487951	3611508	ENSG00000162591.16	MEGF6
1	3560695	3560790	ENSG00000207776.1	MIR551A
1	3623190	3624743	ENSG00000238260.1	AL513320.1
1	3625015	3630127	ENSG00000158109.15	TPRG1L
1	3630767	3652761	ENSG00000116213.16	WRAP73
1	3652516	3736201	ENSG00000078900.15	TP73
1	3658938	3668772	ENSG00000227589.1	TP73-AS3
1	3712200	3714298	ENSG00000235131.1	TP73-AS2
1	3735511	3747373	ENSG00000227372.12	TP73-AS1
1	3736943	3737103	ENSG00000276189.1	AL136528.1
1	3746460	3771645	ENSG00000162592.10	CCDC27
1	3772749	3775982	ENSG00000235169.11	SMIM1
1	3778559	3796498	ENSG00000130764.10	LRRC47
1	3782815	3783111	ENSG00000266075.2	RN7SL574P
1	3785008	3785538	ENSG00000272153.1	AL365330.1
1	3812086	3857396	ENSG00000116198.14	CEP104
1	3857267	3885429	ENSG00000169598.17	DFFB
1	3889125	3900293	ENSG00000198912.12	C1orf174
1	3900352	3917225	ENSG00000236423.6	LINC01134
1	3940486	3955262	ENSG00000233304.7	LINC01346
1	3944547	3949024	ENSG00000226374.3	LINC01345
1	3976133	4012704	ENSG00000284668.2	LINC02780
1	4012921	4019508	ENSG00000284703.1	AL805961.1
1	4175528	4175899	ENSG00000229280.1	EEF1DP6
1	4412027	4424689	ENSG00000235054.4	LINC01777
1	4479131	4484375	ENSG00000284694.1	AL355602.1
1	4551735	4552145	ENSG00000227169.2	Z98747.1
1	4571481	4594016	ENSG00000232596.3	LINC01646
1	4654609	4792534	ENSG00000196581.11	AJAP1
1	4730211	4734992	ENSG00000287586.1	Z98886.1
1	4963954	4973298	ENSG00000284739.1	BX005132.1
1	4973381	4981568	ENSG00000284674.1	LINC02781
1	5086459	5090899	ENSG00000231510.1	LINC02782
1	5301928	5307394	ENSG00000284616.1	AL139823.1
1	5478736	5493057	ENSG00000284692.2	Z98259.3
1	5480787	5482028	ENSG00000284666.1	Z98259.2
1	5492978	5494674	ENSG00000260972.1	Z98259.1
1	5554747	5554881	ENSG00000283356.1	Z97988.2
1	5561709	5668295	ENSG00000236948.2	AL365255.1
1	5564071	5564143	ENSG00000264341.1	Z97988.1
1	5862672	5862741	ENSG00000264101.1	MIR4689
1	5862811	5992473	ENSG00000131697.18	NPHP4
1	5990927	6101193	ENSG00000069424.15	KCNAB2
1	6101787	6180321	ENSG00000116254.18	CHD5
1	6159430	6197757	ENSG00000285629.1	AL031847.1
1	6185020	6209389	ENSG00000116251.11	RPL22
1	6204840	6205780	ENSG00000226944.1	RNF207-AS1
1	6205475	6221299	ENSG00000158286.13	RNF207
1	6221193	6235972	ENSG00000116237.16	ICMT
1	6234692	6239444	ENSG00000225077.3	LINC00337
1	6244179	6245578	ENSG00000173673.8	HES3
